isi,label
"5 Tempat Makan Bakmi Legendaris di Jakarta Barat ,Ada yang Usianya 1 Abad!",makanan
"Ngeteh Cantik Ditemani Kue-kue khas Turki yang Legit Autentik",makanan
"Seleb Korea Ini Tak Doyan Mie Instan ,Hanya Makan 10 Bungkus Seumur Hidup",makanan
"68 Daerah Berstatus Rawan Pangan!",ekonomi
"RI Usulkan Sejumlah Poin dalam Penyusunan Rencana Strategis MEA 2026-2030",ekonomi
"Mandek! Realisasi Peremajaan Sawit Baru 30% Sejak 2017",ekonomi
"Ini Pertimbangan Pemerintah Tambah Dana Peremajaan Sawit Jadi Rp 60 Juta",ekonomi
"Kasus Bullying dengan Korban Anak Sunan Kalijaga Sampai ke Meja Hijau",gosip
"2 Ipar dan Adik Raffi Ahmad Terancam Gigit Jari Nyaleg di Jabar",gosip
"Aldi Taher Cuma Keluar Rp 100 Ribu untuk Kampanye: Buat Beli Es Teh Manis",gosip
"Resep Morph Team Melesat ke Posisi 3 Knockout Stage FFWS ID 2024 Spring",internet
"Menjajal Kamera Realme 12 Pro+ 5G ,Ada Periskop Telephoto-nya",internet
"Pesan Onic Olympus ke Tim Komunitas di FFWS ID 2024 Spring: Pensi Aja",internet
"Ronaldo adalah pemain terbaik didunia, lionel messi hanyalah badut barcelona",olahraga
"Turnamen Biliar Internasional Digelar demi Jam Terbang Para Atlet RI",olahraga
"Respons Bos Ducati Kala Insinyur Pentingnya Dibajak Yamaha",otomotif
"Cerita Korban Selamat Bus Handoyo yang Celaka di Cipali: Bus Kadang Ugal-ugalan",otomotif
"Yamaha Nggak Main-main ,Bajak Dua Insinyur dari Ducati",otomotif
"Komunitas Toyota Land Cruiser Indonesia Chapter 17 Punya Ketua Baru",otomotif
"Honda HR-V Listrik Mulai Diproduksi di Thailand",otomotif
"Beruang Asia Korban Perang Rusia-Ukraina Diselamatkan ke Skotlandia",dunia
"Terpopuler: Kintamani Diteror Ribuan Lalat ,Bikin Merinding!",dunia
"Viral Wisatawan-Pemandu Dipalak di Jembatan Ampera ,Ini Kronologinya",dunia
